94,new,adj. 新的，新鲜的；更新的；初见的 adv. 新近 n. (New)人名；(英)纽
95,pause,n. 暂停；间歇 v. 暂停，停顿，中止；踌躇
96,sunlight,n. 日光
97,disturb,v. 打扰；妨碍；使不安；弄乱；使恼怒
98,distribute,v. 分配；散布；分开；把…分类
99,stable,n. 马厩；牛棚 adj. 稳定的；牢固的；坚定的 v. 被关在马厩
100,straw,n. 稻草；吸管；一文不值的东西 adj. 稻草的；无价值的
101,therefore,adv. 因此；所以
102,ankle,n. 踝关节，踝
103,bookstore,n. 书店（等于bookshop）
104,hardship,n. 困苦；苦难；艰难险阻
105,butter,v. 涂黄油于；讨好 n. 黄油；奶油；奉承话
106,postpone,v. 使…延期；把…放在次要地位；把…放在后面
107,physicist,n. 物理学家；唯物论者
108,lantern,n. 灯笼；提灯；灯笼式天窗
109,panic,n. 恐慌，惊慌；大恐慌 adj. 恐慌的；没有理由的 v. 使恐慌
110,Europe,n. 欧洲
111,disappear,v. 消失；失踪；不复存在
112,downtown,adv. 往闹市区；在市区 adj. 市中心的 n. 市中心区；三分线以外
113,ask,v. 问，询问；要求；需要；邀请；讨价 n. (Ask)人名；(芬、瑞典)阿斯克
114,amuse,v. 娱乐；消遣；使发笑；使愉快
115,criterion,n. （批评判断的）标准；准则；规范；准据
116,shuttle,n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等 v. 使穿梭般来回移动；短程穿梭般运送
117,publish,v. 出版；发表；公布
118,zoo,n. 动物园
119,perhaps,adv. 或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许；可能 n. 假定；猜想；未定之事
120,pressure,n. 压力；压迫，[物] 压强 v. 迫使；密封；使……增压
121,viewer,n. 观察者；观看者；观众；[仪] 指示器
122,being,n. 存在；生命；本质；品格 adj. 存在的；现有的
123,anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
124,atom,n. 原子
125,basis,n. 基础；底部；主要成分；基本原则或原理
126,terrify,v. 恐吓；使恐怖；使害怕
127,electric,adj. 电的；电动的；发电的；导电的；令人震惊的 n. 电；电气车辆；带电体
128,disappoint,v. 使失望
129,toast,n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人 v. 向…祝酒，为…干杯
130,explode,v. 爆炸，爆发；激增
131,retell,v. 复述；再讲；重述
132,salary,vt. 给加薪；给薪水 n. 薪水
133,cyclist,n. 骑自行车的人
134,stomachache,n. 腹痛，肚子痛；胃痛
135,agency,n. 代理，中介；代理处，经销处
136,chalk,v. 用粉笔写；用白垩粉擦；记录；规划 n. 粉笔；白垩；用粉笔划的记号 adj. 用粉笔写的
137,dignity,n. 尊严；高贵
138,hard,adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的 adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地 n. (Hard)人名；(英、芬、瑞典)哈德
139,half,n. 一半；半场；半学年 adv. 一半地；部分地 adj. 一半的；不完全的；半途的
140,fragile,adj. 脆的；易碎的
141,comrade,n. 同志；伙伴
142,duty,n. 责任；[税收] 关税；职务
143,pile,n. 堆；大量；建筑群 v. 累积；打桩于
144,worn,adj. 疲倦的；用旧的 v. 穿；磨损（wear的过去分词）；佩戴 n. (Worn)人名；(柬)翁；(英、葡)沃恩
145,click,v. 点击；使发咔哒声 n. 单击；滴答声
146,heaven,n. 天堂；天空；极乐
147,attentively,adv. 注意地；聚精会神地；周到地
148,hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
149,pleased,adj. 高兴的；喜欢的；乐意做某事 v. 满意；愿意（please的过去分词形式）
150,ouch,n. 扣环 int. 哎哟（突然疼痛时发出的声音）
151,carpenter,n. 木匠，木工 v. 当木匠，做木匠工作
152,giraffe,n. 长颈鹿
153,cycle,n. 循环；周期；自行车；整套；一段时间 v. 使循环；使轮转
154,caption,n. 标题；字幕；说明；逮捕 v. 加上说明；加上标题
155,twist,v. 捻；拧；扭伤；编织；使苦恼 n. 扭曲；拧；扭伤
156,prefer,v. 更喜欢；宁愿；提出；提升
157,shelf,n. 架子；搁板；搁板状物；暗礁
158,civilian,adj. 民用的；百姓的，平民的 n. 平民，百姓
159,pull,v. 拉；拔；拖 n. 拉，拉绳；拉力，牵引力；拖
160,still,adv. 仍然；更；静止地 adj. 静止的，不动的；寂静的，平静的；不起泡的 n. 寂静；剧照；蒸馏室 conj. 仍然；但是；尽管如此 v. 蒸馏；使…静止；使…平静下来
161,wildlife,n. 野生动植物 adj. 野生动植物的
162,training,n. 训练；培养；瞄准；整枝 v. 训练；教养（train的ing形式）
163,harmless,adj. 无害的；无恶意的
164,lie,v. 躺；说谎；位于；展现 n. 谎言；位置
165,spoken,adj. 口语的，口头的 v. 说（speak的过去分词）
166,native,adj. 本国的；土著的；天然的；与生俱来的；天赋的 n. 本地人；土产；当地居民
167,foggy,adj. 有雾的；模糊的，朦胧的
168,better,n. 长辈；较好者；打赌的人（等于bettor） adv. 更好的；更多的；较大程度地 adj. 较好的 v. 改善；胜过
169,main,n. 主要部分，要点；体力；总管道 adj. 主要的，最重要的；全力的
170,meeting,n. 会议；会见；集会；汇合点 v. 会面；会合（meet的ing形式）
171,advertisement,n. 广告，宣传
172,semicircle,n. 半圆，半圆形
173,pioneer,n. 先锋；拓荒者 v. 开辟；倡导；提倡
174,paper,n. 纸；论文；文件；报纸 adj. 纸做的 v. 用纸糊；用纸包装
175,officer,n. 军官，警官；公务员，政府官员；船长 v. 指挥
176,millionaire,n. 百万富翁；大富豪 adj. 100万以上人口的
177,memorial,n. 纪念碑，纪念馆；纪念仪式；纪念物 adj. 记忆的；纪念的，追悼的
178,envy,n. 嫉妒，妒忌；羡慕 v. 嫉妒，妒忌；羡慕
179,woo,v. 追求；招致；向…求爱；恳求
180,mountain,n. 山；山脉
181,impress,v. 盖印；强征；传送；给予某人深刻印象 n. 印象，印记；特征，痕迹
182,association,n. 协会，联盟，社团；联合；联想
183,package,n. 包，包裹；套装软件，[计] 程序包 adj. 一揽子的 v. 打包；将…包装
184,shark,n. 鲨鱼；骗子 v. 诈骗
185,sort,n. 种类；方式；品质 v. 分类；协调；交往
186,ox,n. 牛；公牛
187,nurse,v. 看护，护理；照顾；培养；给…喂奶 n. 护士；奶妈，保姆
188,enemy,n. 敌人，仇敌；敌军 adj. 敌人的，敌方的
189,grasp,n. 抓住；理解；控制 v. 抓住；领会
190,movie,n. 电影；电影院；电影业 adj. 电影的
191,coincidence,n. 巧合；一致；同时发生
192,appearance,n. 外貌，外观；出现，露面
193,garment,n. 衣服，服装；外表，外观 v. 给…穿衣服
194,agricultural,adj. 农业的；农艺的
195,become,v. 成为；变得；变成
196,western,adj. 西方的，西部的；有西方特征的 n. 西方人；西部片，西部小说
197,want,v. 需要；希望；应该；缺少 n. 需要；缺乏；贫困；必需品
198,worry,n. 担心；烦恼；撕咬 v. 担心；发愁；折磨
199,law,n. 法律；规律；法治；法学；诉讼；司法界 vi. 起诉；控告 vt. 控告；对…起诉
200,minus,prep. 减，减去 n. 负号，减号；不足；负数 adj. 减的；负的
201,thinking,adj. 思考的；思想的；有理性的；好思考的 n. 思考；思想；想法；意见；见解 v. 思考（think的现在分词）
202,administration,n. 管理；行政；实施；行政机构
203,eye,n. 眼睛；视力；眼光；见解，观点 v. 注视，看
204,marriage,n. 结婚；婚姻生活；密切结合，合并
205,fifty,n. 五十；五十个；编号为50的东西 adj. 五十的；五十个的；众多的
206,broom,n. 扫帚；金雀花 v. 扫除
207,represent,v. 代表；表现；描绘；回忆；再赠送
208,to,adv. 向前；（门等）关上 prep. 到；向；（表示时间、方向）朝…方向 n. (To)人名；(柬)多；(中)脱(普通话·威妥玛)
209,near,adj. 近的；亲近的；近似的 adv. 近；接近 prep. 靠近；近似于
210,shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
211,glory,n. 光荣，荣誉；赞颂 v. 自豪，骄傲；狂喜
212,effect,n. 影响；效果；作用 v. 产生；达到目的
213,liberation,n. 释放，解放
214,fax,v. 传真 n. 传真
215,state,n. 国家；州；情形 v. 规定；声明；陈述 adj. 国家的；州的；正式的
216,friendly,adj. 友好的；亲切的；支持的；融洽的，和睦的 adv. 友善地；温和地 n. (Friendly)人名；(英)弗兰德利
217,forward,adj. 向前的；早的；迅速的 adv. 向前地；向将来 v. 促进；转寄；运送 n. 前锋
218,exchange,n. 交换；交流；交易所；兑换 v. 交换；交易；兑换
219,suppose,v. 假设；认为；让（虚拟语气）；推想 conj. 假使…结果会怎样
220,generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
221,hers,pron. 她的（所有格） n. (Hers)人名；(法)埃尔
222,explain,v. 说明；解释
223,valid,adj. 有效的；有根据的；合法的；正当的
224,tie,v. 系；约束；打结；与…成平局 n. 领带；平局；鞋带；领结；不分胜负
225,then,adv. 然后；那么；于是；当时；此外 n. 那时 conj. 然后，当时
226,sew,v. 缝合，缝上；缝纫
227,desperate,adj. 不顾一切的；令人绝望的；极度渴望的
228,steak,n. 牛排；肉排；鱼排
229,British,adj. 英国的；英国人的；大不列颠的 n. 英国人
230,sailor,n. 水手，海员；乘船者
231,wear,n. 衣物；磨损；耐久性 v. 穿着；用旧；耗损；面露
232,postage,n. 邮资，邮费
233,presentation,n. 展示；描述，陈述；介绍；赠送
234,wet,adj. [气象][物] 潮湿的；有雨的 n. 雨天；湿气 v. 弄湿
235,avoid,v. 避免；避开，躲避；消除
236,pity,n. 怜悯，同情；遗憾 v. 对……表示怜悯；对……感到同情
237,arrangement,n. 布置；整理；准备
238,among,prep. 在…中间；在…之中
239,author,n. 作者；作家；创始人 v. 创作出版
240,mommy,n. 妈咪
241,theft,n. 盗窃；偷；赃物
242,bathe,v. 沐浴；用水洗 n. 洗澡；游泳
243,assistant,n. 助手，助理，助教 adj. 辅助的，助理的；有帮助的
244,battle,n. 战役；斗争 v. 斗争；作战
245,beancurd,n. 豆腐
246,front,n. 前面；正面；前线 v. 面对；朝向；对付 adj. 前面的；正面的 adv. 在前面；向前
247,work,n. 工作；[物] 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品 v. 使工作；操作；经营；使缓慢前进
248,blackboard,n. 黑板
249,washroom,n. 洗手间；盥洗室；厕所
250,legal,adj. 法律的；合法的；法定的；依照法律的 n. (Legal)人名；(法)勒加尔
251,fill,v. 装满，使充满；满足；堵塞；任职 n. 满足；填满的量；装填物
252,crime,n. 罪行，犯罪；罪恶；犯罪活动 vt. 控告……违反纪律
253,fifteen,n. 十五；十五个；十五人组成的橄榄球队 adj. 十五的 num. 十五
254,indeed,adv. 的确；实在；真正地；甚至 int. 真的（表示惊讶、怀疑、讽刺等）
255,clever,adj. 聪明的；机灵的；熟练的
256,refuse,n. 垃圾；废物 v. 拒绝；不愿；抵制
257,whichever,pron. 任何一个；无论哪个 adj. 无论哪个；无论哪些
258,leftover,n. 残留物；吃剩的饭菜；剩余物 adj. 残余的；吃剩的
259,base,n. 基础；底部；垒 adj. 卑鄙的；低劣的 v. 以…作基础
260,action,n. 行动；活动；功能；战斗；情节
261,catholic,adj. 天主教的；宽宏大量的 n. 天主教徒；罗马天主教
262,succeed,v. 成功；继承；继任；兴旺
263,track,n. 轨道；足迹，踪迹；小道 v. 追踪；通过；循路而行；用纤拉
264,few,adj. 很少的；几乎没有的 pron. 很少 n. 很少数
265,city,n. 城市，都市 adj. 城市的；都会的
266,Sunday,n. 星期日；礼拜日
267,pet,n. 宠物；生气；受宠爱的人 v. 宠爱 adj. 宠爱的
268,into,prep. 到…里；深入…之中；成为…状况；进入到…之内 n. (Into)人名；(芬、英)因托
269,defeat,v. 击败，战胜；挫败；使…失败 n. 失败的事实；击败的行为
270,teenager,n. 十几岁的青少年；十三岁到十九岁的少年
271,jeep,n. 吉普车
272,ample,adj. 丰富的；足够的；宽敞的 n. (Ample)人名；(西)安普尔
273,mirror,n. 镜子；真实的写照；榜样 v. 反射；反映
274,typist,n. 打字员，打字者
275,stadium,n. 体育场；露天大型运动场
276,substitute,n. 代用品；代替者 v. 替代
277,carve,v. 雕刻；切开；开创 n. (Carve)人名；(西、瑞典)卡韦
278,electrical,adj. 有关电的；电气科学的
279,yell,v. 大叫，叫喊 n. 喊声，叫声
280,wide,adj. 广泛的；宽的，广阔的；张大的；远离目标的 adv. 广泛地；广阔地；充分地 n. 大千世界
281,grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
282,resign,v. 辞职；放弃；委托；使听从 n. 辞去职务
283,percentage,n. 百分比；百分率，百分数
284,stout,adj. 结实的；矮胖的；勇敢的；激烈的 n. 矮胖子；烈性啤酒
285,final,adj. 最终的；决定性的；不可更改的 n. 决赛；期末考试；当日报纸的末版
286,certain,adj. 某一；必然的；确信；无疑的；有把握的 pron. 某些；某几个 n. (Certain)人名；(葡)塞尔塔因；(法)塞尔坦
287,discourage,v. 阻止；使气馁
288,strict,adj. 严格的；绝对的；精确的；详细的
289,visual,adj. 视觉的，视力的；栩栩如生的
290,those,adj. 那些的 pron. 那些（that的复数）
291,needle,n. 针；指针；刺激；针状物 v. 缝纫；做针线
292,car,n. 汽车；车厢
293,put,v. 放；表达；移动；安置；赋予 n. 掷；笨蛋；投击；怪人 adj. 固定不动的
294,circumstance,n. 环境，情况；事件；境遇
295,without,prep. 没有；超过；在…外面 adv. 户外；在外面；没有或不显示某事物 n. 外部；外面
296,mend,v. 修理，修补；改善；修改 n. 好转，改进；修补处
297,arithmetic,n. 算术，算法
298,smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的 n. (Smart)人名；(法)斯马尔；(英、德)斯马特
299,fade,v. 褪色；凋谢；逐渐消失 adj. 平淡的；乏味的 n. [电影][电视] 淡出；[电影][电视] 淡入
300,attain,v. 达到，实现；获得；到达 n. 成就
301,Greek,n. 希腊语；希腊人 adj. 希腊的；希腊人的，希腊语的
302,smile,v. 微笑 n. 微笑；笑容；喜色
303,eventually,adv. 最后，终于
304,fortune,n. 财富；命运；运气 vt. 给予财富 vi. 偶然发生
305,purpose,n. 目的；用途；意志 v. 决心；企图；打算
306,tense,adj. 紧张的；拉紧的 v. 变得紧张；使拉紧 n. 时态
307,bridge,n. 桥；桥牌；桥接器；船桥 v. 架桥；渡过
308,lemonade,n. 柠檬水
309,stranger,n. 陌生人；外地人；局外人
310,liberate,v. 解放；放出；释放
311,librarian,n. 图书馆员；图书管理员
312,club,n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花 v. 用棍棒打；募集 adj. 俱乐部的
313,suspect,n. 嫌疑犯 adj. 可疑的；不可信的 v. 怀疑；猜想
314,tin,n. 锡；罐头，罐；马口铁 adj. 锡制的 v. 涂锡于；给…包马口铁
315,proper,adj. 适当的；本身的；特有的；正派的 adv. 完全地 n. (Proper)人名；(英、德)普罗珀
316,greeting,n. 问候，招呼；祝贺 v. 致敬，欢迎（greet的现在分词）
317,discount,n. 折扣；贴现率 v. 贴现；打折扣出售商品
318,delay,v. 延期；耽搁 n. 延期；耽搁；被耽搁或推迟的时间
319,wheel,n. 车轮；方向盘；转动 v. 转动；使变换方向；给…装轮子
320,time,n. 时间；时代；次数；节拍；倍数 v. 计时；测定…的时间；安排…的速度 adj. 定时的；定期的；分期的
321,hit,v. 打击；袭击；碰撞；偶然发现；伤…的感情 n. 打；打击；（演出等）成功；讽刺
322,leather,n. 皮革；皮革制品 v. 用皮革包盖；抽打 adj. 皮的；皮革制的
323,correction,n. 改正，修正
324,twelve,n. 十二；十二个 num. 十二；十二个 adj. 十二的；十二个的
325,exact,adj. 准确的，精密的；精确的 v. 要求；强求；急需
326,it,pron. [指无生命的东西、动物、植物]它；这；那 abbr. 信息技术information technology
327,fisherman,n. 渔夫；渔人
328,know,v. 知道；认识；懂得
329,pension,n. 退休金，抚恤金；津贴；膳宿费 v. 发给养老金或抚恤金
330,ourselves,pron. 我们自己；我们亲自
331,eleven,n. 十一；十一个 adj. 十一的；十一个的 num. 十一；十一个
332,let,v. 允许，让；出租；假设；妨碍 n. 障碍；出租屋
333,good,adj. 好的；优良的；愉快的；虔诚的 n. 好处；善行；慷慨的行为 adv. 好
334,unfortunate,adj. 不幸的；令人遗憾的；不成功的
335,news,n. 新闻，消息；新闻报导
336,watch,v. 观察；注视；看守；警戒 n. 手表；监视；守护；值班人
337,agreement,n. 协议；同意，一致
338,deposit,n. 存款；押金；订金；保证金；沉淀物 v. 使沉积；存放
339,determine,v. （使）下决心，（使）做出决定
340,Mexican,adj. 墨西哥的；墨西哥人的 n. 墨西哥人；墨西哥语
341,modem,n. 调制解调器（等于modulator-demodulator）
342,salad,n. 色拉；尤指莴苣
343,contrary,adj. 相反的；对立的 adv. 相反地 n. 相反；反面
344,education,n. 教育；培养；教育学
345,cheer,v. 欢呼；使高兴；为…加油 n. 欢呼；愉快；心情；令人愉快的事
346,shout,v. 呼喊；喊叫；大声说 n. 呼喊；呼叫
347,pardon,n. 原谅；赦免；宽恕 v. 原谅；赦免；宽恕
348,nice,adj. 精密的；美好的；细微的；和蔼的 n. (Nice)人名；(英)尼斯
349,purchase,n. 购买；紧握；起重装置 v. 购买；赢得
350,owe,v. 欠；感激；应给予；应该把……归功于 n. (Owe)人名；(瑞典、挪)奥弗
351,awake,v. 觉醒，意识到；醒来；被唤起 adj. 醒着的
352,everywhere,adv. 到处 n. 每个地方
353,fair,adj. 公平的；美丽的，白皙的；[气象] 晴朗的 adv. 公平地；直接地；清楚地 v. 转晴 n. 展览会；市集；美人
354,Ireland,n. 爱尔兰
355,pick,v. 挑选；采摘；挖 n. 选择；鹤嘴锄；挖；掩护
356,organiser,n. 组织者；发起人；形成体（等于organizer）
357,young,adj. 年轻的；初期的；没有经验的 n. 年轻人；（动物的）崽，仔
358,chef,n. 厨师，大师傅
359,roller,n. [机] 滚筒；[机] 滚轴；辊子；滚转机
360,weekend,n. 周末，周末休假；周末聚会 adj. 周末的，周末用的 v. 度周末
361,video,n. [电子] 视频；录像，录像机；电视 adj. 视频的；录像的；电视的 v. 录制
362,appoint,v. 任命；指定；约定
363,lady,n. 女士，夫人；小姐；妻子
364,slice,n. 薄片；部分；菜刀，火铲 v. 切下；把…分成部分；将…切成薄片
365,favour,n. 偏爱；赞同；善行 v. 赞成；喜爱；有助于
366,Arctic,adj. 北极的；极寒的 n. 北极圈；御寒防水套鞋
367,pulse,n. [电子] 脉冲；脉搏 v. 使跳动
368,tune,n. 曲调；和谐；心情 v. 调整；使一致；为…调音
369,foreign,adj. 外国的；外交的；异质的；不相关的
370,funeral,n. 葬礼；麻烦事 adj. 丧葬的，出殡的
371,compete,v. 竞争；比赛；对抗
372,gallon,n. 加仑（容量单位）
373,conduct,v. 导电；带领 n. 进行；行为；实施
374,worth,adj. 值…的 n. 价值；财产
375,discovery,n. 发现，发觉；被发现的事物
376,centre,v. 以…为中心 n. 中心 adj. 中央的
377,abrupt,adj. 生硬的；突然的；唐突的；陡峭的
378,hot,adj. 热的；辣的；热情的；激动的；紧迫的 adv. 热；紧迫地 v. 变热 n. (Hot)人名；(塞)霍特；(法)奥特
379,solar,adj. 太阳的；日光的；利用太阳光的；与太阳相关的 n. 日光浴室
380,clothing,n. （总称）[服装] 服装；帆装 v. 覆盖（clothe的ing形式）；给…穿衣
381,emergency,n. 紧急情况；突发事件；非常时刻 adj. 紧急的；备用的
382,abandon,n. 放任；狂热 v. 遗弃；放弃
383,sheep,n. 羊，绵羊；胆小鬼
384,computer,n. 计算机；电脑；电子计算机
385,traditional,adj. 传统的；惯例的
386,plus,n. 正号，加号；好处；附加额 adj. 正的；附加的 prep. 加，加上
387,band,n. 带，环；[物] 波段；(演奏流行音乐的) 乐队 v. 用带绑扎；给镶边
388,document,n. 文件，公文；[计] 文档；证件 v. 用文件证明
389,gate,n. 大门；出入口；门道 v. 给…装大门
390,drum,v. 击鼓；大力争取 n. 鼓；鼓声
391,library,n. 图书馆，藏书室；文库
392,nutrition,n. 营养，营养学；营养品
393,may,aux. 可以，能够；可能，也许；祝，愿；会，能
394,shake,v. 动摇；摇动；震动；握手 n. 摇动；哆嗦
395,worthwhile,adj. 值得做的，值得花时间的
396,quilt,n. 被子；棉被 v. 东拼西凑地编；加软衬料后缝制
397,myself,pron. 我自己；我亲自；我的正常的健康状况和正常情绪
398,tease,v. 取笑；戏弄；梳理；欺负；强求；使起毛 n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
399,book,n. 书籍；卷；帐簿；名册；工作簿 v. 预订；登记
400,modern,adj. 现代的，近代的；时髦的 n. 现代人；有思想的人
401,sorry,adj. 遗憾的；对不起的，抱歉的 int. 对不起，抱歉（表示委婉的拒绝等）
402,parallel,n. 平行线；对比 v. 使…与…平行 adj. 平行的；类似的，相同的
403,evident,adj. 明显的；明白的
404,snack,n. 小吃，快餐；一份，部分 v. 吃快餐，吃点心
405,possibly,adv. 可能地；也许；大概
406,your,pron. 你的，你们的
407,authority,n. 权威；权力；当局
408,northern,adj. 北部的；北方的 n. 北部方言
409,by,prep. 通过；被；依据；经由；在附近；在……之前 adv. 通过；经过；附近；[互联网] 白俄罗斯的国家代码顶级域名
410,following,adj. 下面的；其次的，接着的 n. 下列事物；一批追随者 v. 跟随；沿行（follow的ing形式）
411,seashell,n. 海贝，贝壳；海贝壳
412,pair,n. 一对，一双，一副 v. 把…组成一对
413,explore,v. 探索；探测；探险
414,partner,n. 伙伴；合伙人；配偶 v. 合伙；合股；成为搭档
415,spread,v. 传播；伸展 n. 传播；伸展 adj. 伸展的
416,Swiss,adj. 瑞士的；瑞士人的；瑞士风格的 n. 瑞士人；瑞士腔调
417,microscope,n. 显微镜
418,monument,n. 纪念碑；历史遗迹；不朽的作品 vt. 为…树碑
